source_file,source_path,source_hash,parse_errors,raw_event_count,participant_id,session_id,first_timestamp,last_timestamp,study_ended_count,post_task_survey_count,export_event_count,status,exclude_reason
BG3 4th Party__bg3-study-log-participant-mq748vre-54ccf6-2026-06-09T21-45-05-045Z.jsonl,C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_jsonl\BG3 4th Party__bg3-study-log-participant-mq748vre-54ccf6-2026-06-09T21-45-05-045Z.jsonl,ab392a15055db74cfe9103da6a374f90c2e7fdb79e711da8a51342159b499832,0,11239,participant-mq748vre-54ccf6,participant-mq748vre-54ccf6,2026-06-09 20:52:27.154000+00:00,2026-06-09 21:45:05.045000+00:00,1,1,0,included,
bg3-study-export-participant-mpya2p1q-46ef0b-2026-06-03T18-20-52-897Z__bg3-study-log-participant-mpya2p1q-46ef0b-2026-06-03T18-20-52-897Z.jsonl,C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_jsonl\bg3-study-export-participant-mpya2p1q-46ef0b-2026-06-03T18-20-52-897Z__bg3-study-log-participant-mpya2p1q-46ef0b-2026-06-03T18-20-52-897Z.jsonl,eea62adcddcb81d73d11ab4ec82c6d2d18dee89a65360afc47eee9a0f866e108,0,20022,participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,2026-06-03 16:25:40.485000+00:00,2026-06-03 18:20:52.897000+00:00,1,1,0,included,
bg3-study-export-participant-mpzu7yfi-18b55e-2026-06-04T20-39-12-496Z__bg3-study-log-participant-mpzu7yfi-18b55e-2026-06-04T20-39-12-496Z.jsonl,C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_jsonl\bg3-study-export-participant-mpzu7yfi-18b55e-2026-06-04T20-39-12-496Z__bg3-study-log-participant-mpzu7yfi-18b55e-2026-06-04T20-39-12-496Z.jsonl,af4305fd2bc5830f8836563f7cff418e805aa570892e71d88e0b41d49d770215,0,17844,participant-mpzu7yfi-18b55e,participant-mpzu7yfi-18b55e,2026-06-04 18:37:24.654000+00:00,2026-06-04 20:39:12.495000+00:00,1,1,0,included,
bg3-study-export-participant-mpzuqjdb-edb342-2026-06-04T19-21-09-164Z__bg3-study-log-participant-mpzuqjdb-edb342-2026-06-04T19-21-09-164Z.jsonl,C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_jsonl\bg3-study-export-participant-mpzuqjdb-edb342-2026-06-04T19-21-09-164Z__bg3-study-log-participant-mpzuqjdb-edb342-2026-06-04T19-21-09-164Z.jsonl,2937d00780231bb204111cdf2428b7c600c5fc7a9ca8f11504cea099b877e955,0,3099,participant-mpzuqjdb-edb342,participant-mpzuqjdb-edb342,2026-06-04 18:51:51.381000+00:00,2026-06-04 19:21:09.164000+00:00,1,1,0,included,
bg3-study-export-participant-mpzxp2jz-c463ae-2026-06-05T16-19-05-605Z__bg3-study-log-participant-mpzxp2jz-c463ae-2026-06-05T16-19-05-605Z.jsonl,C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_jsonl\bg3-study-export-participant-mpzxp2jz-c463ae-2026-06-05T16-19-05-605Z__bg3-study-log-participant-mpzxp2jz-c463ae-2026-06-05T16-19-05-605Z.jsonl,adfdbabd9498d59b1fce7a5330153fe3bbae736f2b7e600cdf52b45a9c9511ec,0,19216,participant-mpzxp2jz-c463ae,participant-mpzxp2jz-c463ae,2026-06-05 12:55:32.235000+00:00,2026-06-05 16:19:05.605000+00:00,1,1,0,included,
bg3-study-export-participant-mq000vqm-dbf8fe-2026-06-10T22-39-00-540Z (1)__bg3-study-log-participant-mq000vqm-dbf8fe-2026-06-10T22-39-00-540Z.jsonl,C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_jsonl\bg3-study-export-participant-mq000vqm-dbf8fe-2026-06-10T22-39-00-540Z (1)__bg3-study-log-participant-mq000vqm-dbf8fe-2026-06-10T22-39-00-540Z.jsonl,612f6064e47233b1fe9b7f4f18da763dcbafe19d5e61bf939e92fb264c17854a,0,15025,participant-mq000vqm-dbf8fe,participant-mq000vqm-dbf8fe,2026-06-10 21:16:47.595000+00:00,2026-06-10 22:39:00.540000+00:00,1,1,0,included,
bg3-study-export-participant-mq005qw8-a6ac91-2026-06-04T22-03-53-232Z__bg3-study-log-participant-mq005qw8-a6ac91-2026-06-04T22-03-53-232Z.jsonl,C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_jsonl\bg3-study-export-participant-mq005qw8-a6ac91-2026-06-04T22-03-53-232Z__bg3-study-log-participant-mq005qw8-a6ac91-2026-06-04T22-03-53-232Z.jsonl,3f979a31285e07bd7a5433baadd253e653f59f7e81e0887a80a6126ccad2ed6c,0,8510,participant-mq005qw8-a6ac91,participant-mq005qw8-a6ac91,2026-06-04 21:23:39.129000+00:00,2026-06-04 22:03:53.232000+00:00,1,1,0,included,
bg3-study-export-participant-mq0uvjt0-011c95-2026-06-05T14-08-29-473Z__bg3-study-log-participant-mq0uvjt0-011c95-2026-06-05T14-08-29-473Z.jsonl,C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_jsonl\bg3-study-export-participant-mq0uvjt0-011c95-2026-06-05T14-08-29-473Z__bg3-study-log-participant-mq0uvjt0-011c95-2026-06-05T14-08-29-473Z.jsonl,7825e97c15ad91190b5280679e6200df4353139670d22a0ef28b45f138b9bf55,0,11630,participant-mq0uvjt0-011c95,participant-mq0uvjt0-011c95,2026-06-05 11:43:31.613000+00:00,2026-06-05 14:08:29.473000+00:00,1,1,0,included,
bg3-study-export-participant-mq0zhvzs-7029a5-2026-06-05T14-40-03-030Z__bg3-study-log-participant-mq0zhvzs-7029a5-2026-06-05T14-40-03-030Z.jsonl,C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_jsonl\bg3-study-export-participant-mq0zhvzs-7029a5-2026-06-05T14-40-03-030Z__bg3-study-log-participant-mq0zhvzs-7029a5-2026-06-05T14-40-03-030Z.jsonl,d06e4881a38a44c73afba3dc1341b3e920e71c6e59414d1fc15b0ef435a96713,0,11681,participant-mq0zhvzs-7029a5,participant-mq0zhvzs-7029a5,2026-06-05 13:52:52.073000+00:00,2026-06-05 14:40:03.030000+00:00,1,1,0,included,
bg3-study-export-participant-mq2ql73p-7cf181-2026-06-06T21-22-33-946Z__bg3-study-log-participant-mq2ql73p-7cf181-2026-06-06T21-22-33-946Z.jsonl,C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_jsonl\bg3-study-export-participant-mq2ql73p-7cf181-2026-06-06T21-22-33-946Z__bg3-study-log-participant-mq2ql73p-7cf181-2026-06-06T21-22-33-946Z.jsonl,904cfeb6861f5121bf0ae6214f4d9e851d51fcb67cb472dd55ffa72227bc405e,0,18817,participant-mq2ql73p-7cf181,participant-mq2ql73p-7cf181,2026-06-06 19:19:02.233000+00:00,2026-06-06 21:22:33.946000+00:00,1,1,0,included,
