participant_id,session_id,field_category,field,count
Uriel_Septim_VII,Uriel_Septim_VII,Ability scores,baseAbilityScores,132
Uriel_Septim_VII,Uriel_Septim_VII,Spells,selectedSpellIds,104
Uriel_Septim_VII,Uriel_Septim_VII,Identity/background,buildName,92
Uriel_Septim_VII,Uriel_Septim_VII,Identity/background,characterName,79
Uriel_Septim_VII,Uriel_Septim_VII,Feats,featSelections,69
Uriel_Septim_VII,Uriel_Septim_VII,Class/level,selectedClassSkills,29
Uriel_Septim_VII,Uriel_Septim_VII,Class/level,selectedClassFeatureIds,19
Uriel_Septim_VII,Uriel_Septim_VII,Other,selectedWarlockInvocations,14
Uriel_Septim_VII,Uriel_Septim_VII,Identity/background,selectedRace,13
Uriel_Septim_VII,Uriel_Septim_VII,Identity/background,selectedSubrace,9
Uriel_Septim_VII,Uriel_Septim_VII,Other,rogueExpertise,8
Uriel_Septim_VII,Uriel_Septim_VII,Ability scores,bonusPlusOne,5
Uriel_Septim_VII,Uriel_Septim_VII,Identity/background,selectedBackground,5
Uriel_Septim_VII,Uriel_Septim_VII,Ability scores,bonusPlusTwo,4
Uriel_Septim_VII,Uriel_Septim_VII,Class/level,selectedClass,4
Uriel_Septim_VII,Uriel_Septim_VII,Class/level,selectedSubclass,4
Yoloman,Yoloman,Ability scores,baseAbilityScores,101
Yoloman,Yoloman,Identity/background,buildName,81
Yoloman,Yoloman,Identity/background,characterName,51
Yoloman,Yoloman,Class/level,selectedLevel,19
Yoloman,Yoloman,Feats,featSelections,15
Yoloman,Yoloman,Class/level,selectedClassSkills,8
Yoloman,Yoloman,Ability scores,bonusPlusOne,5
Yoloman,Yoloman,Ability scores,bonusPlusTwo,5
Yoloman,Yoloman,Identity/background,selectedBackground,5
Yoloman,Yoloman,Class/level,selectedClass,4
Yoloman,Yoloman,Class/level,selectedSubclass,4
Yoloman,Yoloman,Identity/background,selectedRace,4
Yoloman,Yoloman,Other,rogueExpertise,4
Yoloman,Yoloman,Identity/background,selectedSubrace,3
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,Identity/background,buildName,103
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,Ability scores,baseAbilityScores,94
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,Spells,selectedSpellIds,77
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,Feats,featSelections,31
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,Class/level,selectedClassSkills,15
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,Identity/background,characterName,12
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,Skills,loreBardSkills,9
