participant_id,session_id,event_category,count
Uriel_Septim_VII,Uriel_Septim_VII,heatmap,9608
Uriel_Septim_VII,Uriel_Septim_VII,visualization,4772
Uriel_Septim_VII,Uriel_Septim_VII,party,1925
Uriel_Septim_VII,Uriel_Septim_VII,build_edit,1584
Uriel_Septim_VII,Uriel_Septim_VII,navigation,660
Uriel_Septim_VII,Uriel_Septim_VII,build_lifecycle,261
Uriel_Septim_VII,Uriel_Septim_VII,friction,55
Uriel_Septim_VII,Uriel_Septim_VII,process,10
Uriel_Septim_VII,Uriel_Septim_VII,study,4
Uriel_Septim_VII,Uriel_Septim_VII,system,1
Uriel_Septim_VII,Uriel_Septim_VII,task,1
Yoloman,Yoloman,heatmap,3006
Yoloman,Yoloman,party,997
Yoloman,Yoloman,build_edit,780
Yoloman,Yoloman,navigation,343
Yoloman,Yoloman,visualization,342
Yoloman,Yoloman,build_lifecycle,150
Yoloman,Yoloman,process,61
Yoloman,Yoloman,friction,27
Yoloman,Yoloman,study,4
Yoloman,Yoloman,system,1
Yoloman,Yoloman,task,1
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,heatmap,10985
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,visualization,6162
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,party,1189
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,build_edit,1018
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,navigation,480
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,build_lifecycle,103
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,friction,48
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,process,30
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,study,5
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,system,1
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,task,1
participant-mpzu7yfi-18b55e,participant-mpzu7yfi-18b55e,heatmap,9478
participant-mpzu7yfi-18b55e,participant-mpzu7yfi-18b55e,visualization,4887
participant-mpzu7yfi-18b55e,participant-mpzu7yfi-18b55e,party,1517
participant-mpzu7yfi-18b55e,participant-mpzu7yfi-18b55e,build_edit,1252
participant-mpzu7yfi-18b55e,participant-mpzu7yfi-18b55e,navigation,542
participant-mpzu7yfi-18b55e,participant-mpzu7yfi-18b55e,build_lifecycle,83
participant-mpzu7yfi-18b55e,participant-mpzu7yfi-18b55e,friction,43
participant-mpzu7yfi-18b55e,participant-mpzu7yfi-18b55e,evaluation,20
participant-mpzu7yfi-18b55e,participant-mpzu7yfi-18b55e,process,15
participant-mpzu7yfi-18b55e,participant-mpzu7yfi-18b55e,study,5
participant-mpzu7yfi-18b55e,participant-mpzu7yfi-18b55e,system,1
participant-mpzu7yfi-18b55e,participant-mpzu7yfi-18b55e,task,1
participant-mpzuqjdb-edb342,participant-mpzuqjdb-edb342,heatmap,1665
participant-mpzuqjdb-edb342,participant-mpzuqjdb-edb342,visualization,477
participant-mpzuqjdb-edb342,participant-mpzuqjdb-edb342,party,312
participant-mpzuqjdb-edb342,participant-mpzuqjdb-edb342,process,270
participant-mpzuqjdb-edb342,participant-mpzuqjdb-edb342,build_edit,146
participant-mpzuqjdb-edb342,participant-mpzuqjdb-edb342,navigation,141
participant-mpzuqjdb-edb342,participant-mpzuqjdb-edb342,build_lifecycle,45
participant-mpzuqjdb-edb342,participant-mpzuqjdb-edb342,friction,36
participant-mpzuqjdb-edb342,participant-mpzuqjdb-edb342,study,5
participant-mpzuqjdb-edb342,participant-mpzuqjdb-edb342,system,1
participant-mpzuqjdb-edb342,participant-mpzuqjdb-edb342,task,1
participant-mpzxp2jz-c463ae,participant-mpzxp2jz-c463ae,heatmap,10525
participant-mpzxp2jz-c463ae,participant-mpzxp2jz-c463ae,visualization,3064
participant-mpzxp2jz-c463ae,participant-mpzxp2jz-c463ae,party,2363
participant-mpzxp2jz-c463ae,participant-mpzxp2jz-c463ae,build_edit,1943
participant-mpzxp2jz-c463ae,participant-mpzxp2jz-c463ae,navigation,963
participant-mpzxp2jz-c463ae,participant-mpzxp2jz-c463ae,build_lifecycle,207
participant-mpzxp2jz-c463ae,participant-mpzxp2jz-c463ae,process,75
participant-mpzxp2jz-c463ae,participant-mpzxp2jz-c463ae,friction,57
participant-mpzxp2jz-c463ae,participant-mpzxp2jz-c463ae,evaluation,12
participant-mpzxp2jz-c463ae,participant-mpzxp2jz-c463ae,study,5
participant-mpzxp2jz-c463ae,participant-mpzxp2jz-c463ae,system,1
participant-mpzxp2jz-c463ae,participant-mpzxp2jz-c463ae,task,1
participant-mq000vqm-dbf8fe,participant-mq000vqm-dbf8fe,heatmap,7296
participant-mq000vqm-dbf8fe,participant-mq000vqm-dbf8fe,visualization,4820
participant-mq000vqm-dbf8fe,participant-mq000vqm-dbf8fe,party,1187
participant-mq000vqm-dbf8fe,participant-mq000vqm-dbf8fe,build_edit,1026
participant-mq000vqm-dbf8fe,participant-mq000vqm-dbf8fe,navigation,415
participant-mq000vqm-dbf8fe,participant-mq000vqm-dbf8fe,build_lifecycle,162
participant-mq000vqm-dbf8fe,participant-mq000vqm-dbf8fe,process,70
participant-mq000vqm-dbf8fe,participant-mq000vqm-dbf8fe,friction,34
participant-mq000vqm-dbf8fe,participant-mq000vqm-dbf8fe,evaluation,8
participant-mq000vqm-dbf8fe,participant-mq000vqm-dbf8fe,study,5
participant-mq000vqm-dbf8fe,participant-mq000vqm-dbf8fe,system,1
participant-mq000vqm-dbf8fe,participant-mq000vqm-dbf8fe,task,1
participant-mq005qw8-a6ac91,participant-mq005qw8-a6ac91,heatmap,4183
participant-mq005qw8-a6ac91,participant-mq005qw8-a6ac91,visualization,1886
participant-mq005qw8-a6ac91,participant-mq005qw8-a6ac91,party,1053
participant-mq005qw8-a6ac91,participant-mq005qw8-a6ac91,build_edit,884
participant-mq005qw8-a6ac91,participant-mq005qw8-a6ac91,navigation,374
participant-mq005qw8-a6ac91,participant-mq005qw8-a6ac91,build_lifecycle,80
participant-mq005qw8-a6ac91,participant-mq005qw8-a6ac91,friction,33
participant-mq005qw8-a6ac91,participant-mq005qw8-a6ac91,evaluation,8
participant-mq005qw8-a6ac91,participant-mq005qw8-a6ac91,study,5
participant-mq005qw8-a6ac91,participant-mq005qw8-a6ac91,process,2
participant-mq005qw8-a6ac91,participant-mq005qw8-a6ac91,system,1
participant-mq005qw8-a6ac91,participant-mq005qw8-a6ac91,task,1
participant-mq0uvjt0-011c95,participant-mq0uvjt0-011c95,heatmap,5643
participant-mq0uvjt0-011c95,participant-mq0uvjt0-011c95,visualization,2297
participant-mq0uvjt0-011c95,participant-mq0uvjt0-011c95,party,1612
participant-mq0uvjt0-011c95,participant-mq0uvjt0-011c95,build_edit,1279
participant-mq0uvjt0-011c95,participant-mq0uvjt0-011c95,navigation,517
participant-mq0uvjt0-011c95,participant-mq0uvjt0-011c95,build_lifecycle,174
participant-mq0uvjt0-011c95,participant-mq0uvjt0-011c95,process,55
