participant_id,session_id,event_category,event_type,count
Uriel_Septim_VII,Uriel_Septim_VII,build_edit,build_edit,590
Uriel_Septim_VII,Uriel_Septim_VII,build_edit,build_semantic_delta,590
Uriel_Septim_VII,Uriel_Septim_VII,build_edit,ability_score_changed,132
Uriel_Septim_VII,Uriel_Septim_VII,build_edit,spell_toggle_attempted,104
Uriel_Septim_VII,Uriel_Septim_VII,build_edit,class_skill_toggle_attempted,44
Uriel_Septim_VII,Uriel_Septim_VII,build_edit,class_feature_toggle_attempted,33
Uriel_Septim_VII,Uriel_Septim_VII,build_edit,feat_name_changed,32
Uriel_Septim_VII,Uriel_Septim_VII,build_edit,feat_choice_toggled,28
Uriel_Septim_VII,Uriel_Septim_VII,build_edit,feat_ability_changed,10
Uriel_Septim_VII,Uriel_Septim_VII,build_edit,ability_bonus_changed,9
Uriel_Septim_VII,Uriel_Septim_VII,build_edit,limited_skill_toggle_attempted,8
Uriel_Septim_VII,Uriel_Septim_VII,build_edit,class_field_changed,4
Uriel_Septim_VII,Uriel_Septim_VII,build_lifecycle,saved_build_card_hover_started,102
Uriel_Septim_VII,Uriel_Septim_VII,build_lifecycle,saved_build_card_hover_ended,87
Uriel_Septim_VII,Uriel_Septim_VII,build_lifecycle,saved_build_card_hover_dwell,40
Uriel_Septim_VII,Uriel_Septim_VII,build_lifecycle,history_entry_created,7
Uriel_Septim_VII,Uriel_Septim_VII,build_lifecycle,build_saved,5
Uriel_Septim_VII,Uriel_Septim_VII,build_lifecycle,save_current_build_clicked,5
Uriel_Septim_VII,Uriel_Septim_VII,build_lifecycle,build_loaded,3
Uriel_Septim_VII,Uriel_Septim_VII,build_lifecycle,new_blank_build_started,3
Uriel_Septim_VII,Uriel_Septim_VII,build_lifecycle,saved_build_load_clicked,3
Uriel_Septim_VII,Uriel_Septim_VII,build_lifecycle,build_overwritten,2
Uriel_Septim_VII,Uriel_Septim_VII,build_lifecycle,saved_build_update_clicked,2
Uriel_Septim_VII,Uriel_Septim_VII,build_lifecycle,build_deleted,1
