participant_id,session_id,edit_event_id,trigger_event_id,edit_sequence_number,edit_elapsed_ms,edit_field,edit_field_category,trigger_event_type,latency_sec,within_30s,within_60s
Uriel_Septim_VII,Uriel_Septim_VII,event-389f3e50-df37-40fc-9197-c26caf112053,event-cb6fbd8a-20b3-48c7-aed0-f2bbd2c04d26,1836,338652,selectedSpellIds,Spells,highlighted_item_tooltip_opened,0.12,True,True
Uriel_Septim_VII,Uriel_Septim_VII,event-c28a946a-6150-481f-8180-5c5a30f4cced,event-3c2144a0-ad86-4341-80ba-8914dce03541,1904,350628,selectedSpellIds,Spells,highlighted_item_tooltip_opened,0.104,True,True
Uriel_Septim_VII,Uriel_Septim_VII,event-2e06f5c4-18b4-455d-9bb9-5369a724394e,event-ab41e3fa-e82c-4853-b7bf-bec97162609a,2038,368893,selectedSpellIds,Spells,highlighted_item_tooltip_opened,0.148,True,True
Uriel_Septim_VII,Uriel_Septim_VII,event-375e229e-d650-4e3d-a59f-a81736e42484,event-273962dc-3b82-4339-8467-c2063a007f8e,2060,371960,selectedSpellIds,Spells,highlighted_item_tooltip_opened,0.811,True,True
Uriel_Septim_VII,Uriel_Septim_VII,event-9d60349b-dc7e-4025-97d4-1a8241b0e5ea,event-273962dc-3b82-4339-8467-c2063a007f8e,2069,372477,selectedSpellIds,Spells,highlighted_item_tooltip_opened,1.328,True,True
Uriel_Septim_VII,Uriel_Septim_VII,event-b00c9cb7-332e-4906-bc8a-77d06960d2d8,event-b77bdb2f-dd05-4867-b1c4-f280fedb5f02,2091,374284,selectedSpellIds,Spells,highlighted_item_tooltip_opened,0.142,True,True
Uriel_Septim_VII,Uriel_Septim_VII,event-65cf2b54-c509-4ee1-ae7c-6c0d96c55a57,event-b77bdb2f-dd05-4867-b1c4-f280fedb5f02,2100,375003,selectedSpellIds,Spells,highlighted_item_tooltip_opened,0.861,True,True
Uriel_Septim_VII,Uriel_Septim_VII,event-6e61eb20-014b-4e80-84ad-11cca80e85df,event-8d1b2acf-cf3c-4dbc-aa1a-c7344e3ca210,2123,376017,selectedSpellIds,Spells,highlighted_item_tooltip_opened,0.135,True,True
Uriel_Septim_VII,Uriel_Septim_VII,event-3cc6dfc4-a10d-497f-9554-23538ba9b85f,event-8d1b2acf-cf3c-4dbc-aa1a-c7344e3ca210,2132,376647,selectedSpellIds,Spells,highlighted_item_tooltip_opened,0.765,True,True
Uriel_Septim_VII,Uriel_Septim_VII,event-95fa919b-ac9f-4d45-9f83-bb59ea28b2ac,event-a2c9e691-d400-4588-94e2-7760b812655a,2156,378208,selectedSpellIds,Spells,highlighted_item_tooltip_opened,0.393,True,True
