participant_id,session_id,gap_type,gap_key,gap_label,severity,unique_party_states_with_gap
Uriel_Septim_VII,Uriel_Septim_VII,range,long-range,No clear long-range option,high,528
Uriel_Septim_VII,Uriel_Septim_VII,role,healing,No clear healing option,high,331
Uriel_Septim_VII,Uriel_Septim_VII,role,area-damage,No clear area damage option,high,261
Uriel_Septim_VII,Uriel_Septim_VII,role,control,No clear control option,high,205
Uriel_Septim_VII,Uriel_Septim_VII,role,single-target-damage,No clear single-target damage option,high,205
Uriel_Septim_VII,Uriel_Septim_VII,role,mobility,No clear mobility/positioning option,high,172
Uriel_Septim_VII,Uriel_Septim_VII,role,support,No clear support/buff option,high,88
Yoloman,Yoloman,range,long-range,No clear long-range option,high,305
Yoloman,Yoloman,role,area-damage,No clear area damage option,high,208
Yoloman,Yoloman,role,healing,No clear healing option,high,180
Yoloman,Yoloman,role,control,No clear control option,high,177
Yoloman,Yoloman,role,mobility,No clear mobility/positioning option,high,125
Yoloman,Yoloman,role,support,No clear support/buff option,high,123
Yoloman,Yoloman,role,single-target-damage,No clear single-target damage option,high,117
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,range,long-range,No clear long-range option,high,352
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,role,area-damage,No clear area damage option,high,96
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,role,control,No clear control option,high,85
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,role,healing,No clear healing option,high,50
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,role,mobility,No clear mobility/positioning option,high,50
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,role,single-target-damage,No clear single-target damage option,high,50
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,role,support,No clear support/buff option,high,50
participant-mpzu7yfi-18b55e,participant-mpzu7yfi-18b55e,range,long-range,No clear long-range option,high,441
participant-mpzu7yfi-18b55e,participant-mpzu7yfi-18b55e,role,healing,No clear healing option,high,177
participant-mpzu7yfi-18b55e,participant-mpzu7yfi-18b55e,role,area-damage,No clear area damage option,high,83
participant-mpzu7yfi-18b55e,participant-mpzu7yfi-18b55e,role,mobility,No clear mobility/positioning option,high,82
participant-mpzu7yfi-18b55e,participant-mpzu7yfi-18b55e,role,single-target-damage,No clear single-target damage option,high,77
participant-mpzu7yfi-18b55e,participant-mpzu7yfi-18b55e,role,control,No clear control option,high,26
participant-mpzu7yfi-18b55e,participant-mpzu7yfi-18b55e,role,support,No clear support/buff option,high,16
participant-mpzuqjdb-edb342,participant-mpzuqjdb-edb342,range,long-range,No clear long-range option,high,76
participant-mpzuqjdb-edb342,participant-mpzuqjdb-edb342,role,healing,No clear healing option,high,76
participant-mpzuqjdb-edb342,participant-mpzuqjdb-edb342,role,area-damage,No clear area damage option,high,70
participant-mpzuqjdb-edb342,participant-mpzuqjdb-edb342,role,control,No clear control option,high,70
participant-mpzuqjdb-edb342,participant-mpzuqjdb-edb342,role,mobility,No clear mobility/positioning option,high,70
participant-mpzuqjdb-edb342,participant-mpzuqjdb-edb342,role,single-target-damage,No clear single-target damage option,high,70
participant-mpzuqjdb-edb342,participant-mpzuqjdb-edb342,role,support,No clear support/buff option,high,14
participant-mpzxp2jz-c463ae,participant-mpzxp2jz-c463ae,range,long-range,No clear long-range option,high,596
participant-mpzxp2jz-c463ae,participant-mpzxp2jz-c463ae,role,healing,No clear healing option,high,112
participant-mpzxp2jz-c463ae,participant-mpzxp2jz-c463ae,role,single-target-damage,No clear single-target damage option,high,58
participant-mpzxp2jz-c463ae,participant-mpzxp2jz-c463ae,role,control,No clear control option,high,57
participant-mpzxp2jz-c463ae,participant-mpzxp2jz-c463ae,role,mobility,No clear mobility/positioning option,high,50
participant-mpzxp2jz-c463ae,participant-mpzxp2jz-c463ae,role,support,No clear support/buff option,high,36
participant-mpzxp2jz-c463ae,participant-mpzxp2jz-c463ae,role,area-damage,No clear area damage option,high,16
participant-mq000vqm-dbf8fe,participant-mq000vqm-dbf8fe,range,long-range,No clear long-range option,high,356
participant-mq000vqm-dbf8fe,participant-mq000vqm-dbf8fe,role,area-damage,No clear area damage option,high,94
participant-mq000vqm-dbf8fe,participant-mq000vqm-dbf8fe,role,mobility,No clear mobility/positioning option,high,94
participant-mq000vqm-dbf8fe,participant-mq000vqm-dbf8fe,role,control,No clear control option,high,58
participant-mq000vqm-dbf8fe,participant-mq000vqm-dbf8fe,role,healing,No clear healing option,high,24
participant-mq000vqm-dbf8fe,participant-mq000vqm-dbf8fe,role,single-target-damage,No clear single-target damage option,high,24
participant-mq000vqm-dbf8fe,participant-mq000vqm-dbf8fe,role,support,No clear support/buff option,high,24
participant-mq005qw8-a6ac91,participant-mq005qw8-a6ac91,range,long-range,No clear long-range option,high,339
participant-mq005qw8-a6ac91,participant-mq005qw8-a6ac91,role,area-damage,No clear area damage option,high,118
participant-mq005qw8-a6ac91,participant-mq005qw8-a6ac91,role,control,No clear control option,high,37
participant-mq005qw8-a6ac91,participant-mq005qw8-a6ac91,role,healing,No clear healing option,high,33
participant-mq005qw8-a6ac91,participant-mq005qw8-a6ac91,role,single-target-damage,No clear single-target damage option,high,33
participant-mq005qw8-a6ac91,participant-mq005qw8-a6ac91,role,support,No clear support/buff option,high,33
participant-mq005qw8-a6ac91,participant-mq005qw8-a6ac91,role,mobility,No clear mobility/positioning option,high,31
participant-mq0uvjt0-011c95,participant-mq0uvjt0-011c95,range,long-range,No clear long-range option,high,478
participant-mq0uvjt0-011c95,participant-mq0uvjt0-011c95,role,area-damage,No clear area damage option,high,231
participant-mq0uvjt0-011c95,participant-mq0uvjt0-011c95,role,control,No clear control option,high,227
participant-mq0uvjt0-011c95,participant-mq0uvjt0-011c95,role,healing,No clear healing option,high,138
participant-mq0uvjt0-011c95,participant-mq0uvjt0-011c95,role,mobility,No clear mobility/positioning option,high,67
participant-mq0uvjt0-011c95,participant-mq0uvjt0-011c95,role,single-target-damage,No clear single-target damage option,high,60
participant-mq0uvjt0-011c95,participant-mq0uvjt0-011c95,role,support,No clear support/buff option,high,13
participant-mq0zhvzs-7029a5,participant-mq0zhvzs-7029a5,range,long-range,No clear long-range option,high,409
participant-mq0zhvzs-7029a5,participant-mq0zhvzs-7029a5,role,mobility,No clear mobility/positioning option,high,74
participant-mq0zhvzs-7029a5,participant-mq0zhvzs-7029a5,role,area-damage,No clear area damage option,high,57
participant-mq0zhvzs-7029a5,participant-mq0zhvzs-7029a5,role,control,No clear control option,high,16
participant-mq0zhvzs-7029a5,participant-mq0zhvzs-7029a5,role,healing,No clear healing option,high,6
participant-mq0zhvzs-7029a5,participant-mq0zhvzs-7029a5,role,single-target-damage,No clear single-target damage option,high,6
participant-mq0zhvzs-7029a5,participant-mq0zhvzs-7029a5,role,support,No clear support/buff option,high,6
participant-mq2ql73p-7cf181,participant-mq2ql73p-7cf181,range,long-range,No clear long-range option,high,402
participant-mq2ql73p-7cf181,participant-mq2ql73p-7cf181,role,area-damage,No clear area damage option,high,208
participant-mq2ql73p-7cf181,participant-mq2ql73p-7cf181,role,control,No clear control option,high,146
participant-mq2ql73p-7cf181,participant-mq2ql73p-7cf181,role,mobility,No clear mobility/positioning option,high,48
participant-mq2ql73p-7cf181,participant-mq2ql73p-7cf181,role,single-target-damage,No clear single-target damage option,high,32
participant-mq2ql73p-7cf181,participant-mq2ql73p-7cf181,role,healing,No clear healing option,high,30
participant-mq2ql73p-7cf181,participant-mq2ql73p-7cf181,role,support,No clear support/buff option,high,23
participant-mq3eh42s-fb2cf2,participant-mq3eh42s-fb2cf2,range,long-range,No clear long-range option,high,410
participant-mq3eh42s-fb2cf2,participant-mq3eh42s-fb2cf2,role,area-damage,No clear area damage option,high,220
participant-mq3eh42s-fb2cf2,participant-mq3eh42s-fb2cf2,role,healing,No clear healing option,high,123
participant-mq3eh42s-fb2cf2,participant-mq3eh42s-fb2cf2,role,mobility,No clear mobility/positioning option,high,55
participant-mq3eh42s-fb2cf2,participant-mq3eh42s-fb2cf2,role,single-target-damage,No clear single-target damage option,high,51
participant-mq3eh42s-fb2cf2,participant-mq3eh42s-fb2cf2,role,control,No clear control option,high,45
participant-mq3eh42s-fb2cf2,participant-mq3eh42s-fb2cf2,role,support,No clear support/buff option,high,45
participant-mq3o607h-2af78e,participant-mq3o607h-2af78e,range,long-range,No clear long-range option,high,328
participant-mq3o607h-2af78e,participant-mq3o607h-2af78e,role,area-damage,No clear area damage option,high,144
participant-mq3o607h-2af78e,participant-mq3o607h-2af78e,role,control,No clear control option,high,38
participant-mq3o607h-2af78e,participant-mq3o607h-2af78e,role,healing,No clear healing option,high,3
