participant_id,session_id,time_bin_min,event_family,count
Uriel_Septim_VII,Uriel_Septim_VII,0,Build edits,126
Uriel_Septim_VII,Uriel_Septim_VII,0,Friction or blocked action,28
Uriel_Septim_VII,Uriel_Septim_VII,0,Navigation/process,1
Uriel_Septim_VII,Uriel_Septim_VII,0,Party planning,125
Uriel_Septim_VII,Uriel_Septim_VII,5,Build edits,47
Uriel_Septim_VII,Uriel_Septim_VII,5,Navigation/process,7
Uriel_Septim_VII,Uriel_Septim_VII,5,Party planning,47
Uriel_Septim_VII,Uriel_Septim_VII,5,Visualization inspection,441
Uriel_Septim_VII,Uriel_Septim_VII,10,Build edits,48
Uriel_Septim_VII,Uriel_Septim_VII,10,Navigation/process,5
Uriel_Septim_VII,Uriel_Septim_VII,10,Party planning,57
Uriel_Septim_VII,Uriel_Septim_VII,10,Saved-build workflow,13
Uriel_Septim_VII,Uriel_Septim_VII,10,Visualization inspection,180
Uriel_Septim_VII,Uriel_Septim_VII,15,Build edits,92
Uriel_Septim_VII,Uriel_Septim_VII,15,Friction or blocked action,13
Uriel_Septim_VII,Uriel_Septim_VII,15,Navigation/process,5
Uriel_Septim_VII,Uriel_Septim_VII,15,Party planning,92
Uriel_Septim_VII,Uriel_Septim_VII,15,Visualization inspection,72
Uriel_Septim_VII,Uriel_Septim_VII,20,Build edits,33
Uriel_Septim_VII,Uriel_Septim_VII,20,Party planning,33
Uriel_Septim_VII,Uriel_Septim_VII,20,Visualization inspection,587
Uriel_Septim_VII,Uriel_Septim_VII,25,Build edits,30
Uriel_Septim_VII,Uriel_Septim_VII,25,Navigation/process,6
Uriel_Septim_VII,Uriel_Septim_VII,25,Party planning,31
Uriel_Septim_VII,Uriel_Septim_VII,25,Saved-build workflow,5
Uriel_Septim_VII,Uriel_Septim_VII,25,Visualization inspection,253
Uriel_Septim_VII,Uriel_Septim_VII,30,Build edits,59
Uriel_Septim_VII,Uriel_Septim_VII,30,Friction or blocked action,10
Uriel_Septim_VII,Uriel_Septim_VII,30,Navigation/process,14
Uriel_Septim_VII,Uriel_Septim_VII,30,Party planning,59
Uriel_Septim_VII,Uriel_Septim_VII,30,Visualization inspection,33
Uriel_Septim_VII,Uriel_Septim_VII,35,Build edits,57
Uriel_Septim_VII,Uriel_Septim_VII,35,Friction or blocked action,1
Uriel_Septim_VII,Uriel_Septim_VII,35,Navigation/process,5
Uriel_Septim_VII,Uriel_Septim_VII,35,Party planning,57
Uriel_Septim_VII,Uriel_Septim_VII,35,Visualization inspection,246
Uriel_Septim_VII,Uriel_Septim_VII,40,Build edits,74
Uriel_Septim_VII,Uriel_Septim_VII,40,Friction or blocked action,3
Uriel_Septim_VII,Uriel_Septim_VII,40,Navigation/process,10
Uriel_Septim_VII,Uriel_Septim_VII,40,Party planning,75
Uriel_Septim_VII,Uriel_Septim_VII,40,Saved-build workflow,4
Uriel_Septim_VII,Uriel_Septim_VII,40,Visualization inspection,128
Uriel_Septim_VII,Uriel_Septim_VII,45,Build edits,20
Uriel_Septim_VII,Uriel_Septim_VII,45,Navigation/process,8
Uriel_Septim_VII,Uriel_Septim_VII,45,Party planning,20
Uriel_Septim_VII,Uriel_Septim_VII,45,Visualization inspection,89
Uriel_Septim_VII,Uriel_Septim_VII,50,Build edits,4
Uriel_Septim_VII,Uriel_Septim_VII,50,Navigation/process,8
Uriel_Septim_VII,Uriel_Septim_VII,50,Party planning,8
Uriel_Septim_VII,Uriel_Septim_VII,50,Saved-build workflow,14
Uriel_Septim_VII,Uriel_Septim_VII,50,Visualization inspection,163
Yoloman,Yoloman,0,Build edits,71
Yoloman,Yoloman,0,Friction or blocked action,8
Yoloman,Yoloman,0,Navigation/process,4
Yoloman,Yoloman,0,Party planning,69
Yoloman,Yoloman,0,Visualization inspection,37
Yoloman,Yoloman,5,Build edits,58
Yoloman,Yoloman,5,Friction or blocked action,1
Yoloman,Yoloman,5,Navigation/process,18
Yoloman,Yoloman,5,Party planning,58
Yoloman,Yoloman,5,Saved-build workflow,4
Yoloman,Yoloman,5,Visualization inspection,39
Yoloman,Yoloman,10,Build edits,108
Yoloman,Yoloman,10,Friction or blocked action,10
Yoloman,Yoloman,10,Navigation/process,4
Yoloman,Yoloman,10,Party planning,108
Yoloman,Yoloman,10,Saved-build workflow,3
Yoloman,Yoloman,10,Visualization inspection,3
Yoloman,Yoloman,15,Build edits,72
Yoloman,Yoloman,15,Friction or blocked action,8
Yoloman,Yoloman,15,Navigation/process,51
Yoloman,Yoloman,15,Party planning,75
Yoloman,Yoloman,15,Saved-build workflow,12
Yoloman,Yoloman,15,Visualization inspection,38
Yoloman,Yoloman,20,Visualization inspection,19
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,0,Navigation/process,2
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,0,Visualization inspection,49
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,5,Build edits,4
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,5,Party planning,3
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,5,Visualization inspection,47
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,10,Build edits,97
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,10,Friction or blocked action,24
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,10,Navigation/process,2
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,10,Party planning,97
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,10,Visualization inspection,7
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,15,Build edits,13
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,15,Friction or blocked action,2
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,15,Navigation/process,1
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,15,Party planning,12
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,20,Build edits,14
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,20,Friction or blocked action,2
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,20,Navigation/process,1
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,20,Party planning,14
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,20,Visualization inspection,268
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,25,Build edits,16
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,25,Friction or blocked action,1
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,25,Party planning,16
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,25,Visualization inspection,638
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,30,Build edits,13
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,30,Party planning,13
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,30,Visualization inspection,771
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,35,Build edits,37
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,35,Friction or blocked action,8
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,35,Navigation/process,6
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,35,Party planning,38
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,35,Saved-build workflow,4
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,35,Visualization inspection,45
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,40,Build edits,44
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,40,Friction or blocked action,4
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,40,Navigation/process,7
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,40,Party planning,45
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,40,Saved-build workflow,4
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,40,Visualization inspection,311
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,45,Build edits,41
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,45,Friction or blocked action,4
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,45,Navigation/process,1
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,45,Party planning,41
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,45,Visualization inspection,11
