participant_id,session_id,event_type,focus_source,focus_layer,focus_type,focus_key,focus_label,count,total_dwell_ms,mean_dwell_ms
Uriel_Septim_VII,Uriel_Septim_VII,data_circle_focus_selected,editor,,,damageType,Current Editor,51,0.0,
Uriel_Septim_VII,Uriel_Septim_VII,data_circle_focus_selected,editor,,,range,Current Editor,49,0.0,
Uriel_Septim_VII,Uriel_Septim_VII,data_circle_focus_selected,editor,,,ability,Current Editor,42,0.0,
Uriel_Septim_VII,Uriel_Septim_VII,data_circle_focus_hover_started,data-circle-main,roles-utility,roleGroup,"{""roleGroup"":""utility"",""type"":""roleGroup""}",Utility,41,0.0,
Uriel_Septim_VII,Uriel_Septim_VII,data_circle_focus_hover_ended,data-circle-main,roles-utility,roleGroup,"{""roleGroup"":""utility"",""type"":""roleGroup""}",Utility,40,6595.0,164.875
Uriel_Septim_VII,Uriel_Septim_VII,data_circle_focus_hover_ended,data-circle-main,range,range,"{""range"":""long"",""type"":""range""}",Long,35,5691.0,162.6
Uriel_Septim_VII,Uriel_Septim_VII,data_circle_focus_hover_started,data-circle-main,range,range,"{""range"":""long"",""type"":""range""}",Long,35,0.0,
Uriel_Septim_VII,Uriel_Septim_VII,data_circle_focus_hover_ended,data-circle-main,range,range,"{""range"":""mid"",""type"":""range""}",Mid,31,5980.0,192.90322580645162
Uriel_Septim_VII,Uriel_Septim_VII,data_circle_focus_hover_started,data-circle-main,range,range,"{""range"":""mid"",""type"":""range""}",Mid,31,0.0,
Uriel_Septim_VII,Uriel_Septim_VII,data_circle_focus_selected,editor,,,roleGroup,Current Editor,31,0.0,
Uriel_Septim_VII,Uriel_Septim_VII,data_circle_focus_hover_ended,data-circle-main,range,range,"{""range"":""melee"",""type"":""range""}",Melee,28,6776.0,242.0
Uriel_Septim_VII,Uriel_Septim_VII,data_circle_focus_hover_started,data-circle-main,range,range,"{""range"":""melee"",""type"":""range""}",Melee,28,0.0,
Uriel_Septim_VII,Uriel_Septim_VII,data_circle_focus_hover_ended,data-circle-main,range,range,"{""range"":""self"",""type"":""range""}",Self,26,6383.0,245.5
Uriel_Septim_VII,Uriel_Septim_VII,data_circle_focus_hover_started,data-circle-main,range,range,"{""range"":""self"",""type"":""range""}",Self,26,0.0,
Uriel_Septim_VII,Uriel_Septim_VII,data_circle_focus_cleared,editor,,,,Current Editor,24,0.0,
Uriel_Septim_VII,Uriel_Septim_VII,data_circle_focus_selected,editor,,,role,Current Editor,20,0.0,
Uriel_Septim_VII,Uriel_Septim_VII,data_circle_focus_hover_ended,data-circle-main,ability,ability,"{""abilityId"":""disintegrate"",""type"":""ability""}",Disintegrate,19,4349.0,228.89473684210526
Uriel_Septim_VII,Uriel_Septim_VII,data_circle_focus_hover_started,data-circle-main,ability,ability,"{""abilityId"":""disintegrate"",""type"":""ability""}",Disintegrate,19,0.0,
Uriel_Septim_VII,Uriel_Septim_VII,data_circle_focus_hover_ended,data-circle-main,ability,ability,"{""abilityId"":""poison-spray"",""type"":""ability""}",Poison Spray,16,4282.0,267.625
Uriel_Septim_VII,Uriel_Septim_VII,data_circle_focus_hover_ended,data-circle-main,damage-types,damageType,"{""damageType"":""Fire"",""type"":""damageType""}",Fire,16,7272.0,454.5
Uriel_Septim_VII,Uriel_Septim_VII,data_circle_focus_hover_started,data-circle-main,ability,ability,"{""abilityId"":""poison-spray"",""type"":""ability""}",Poison Spray,16,0.0,
Uriel_Septim_VII,Uriel_Septim_VII,data_circle_focus_hover_started,data-circle-main,damage-types,damageType,"{""damageType"":""Fire"",""type"":""damageType""}",Fire,16,0.0,
Uriel_Septim_VII,Uriel_Septim_VII,data_circle_focus_hover_started,data-circle-main,roles-utility,roleGroup,"{""roleGroup"":""damage"",""type"":""roleGroup""}",Damage,16,0.0,
Uriel_Septim_VII,Uriel_Septim_VII,data_circle_focus_hover_ended,data-circle-main,damage-types,damageType,"{""damageType"":""Thunder"",""type"":""damageType""}",Thunder,15,2987.0,199.13333333333333
Uriel_Septim_VII,Uriel_Septim_VII,data_circle_focus_hover_ended,data-circle-main,roles-utility,roleGroup,"{""roleGroup"":""damage"",""type"":""roleGroup""}",Damage,15,1700.0,113.33333333333333
Uriel_Septim_VII,Uriel_Septim_VII,data_circle_focus_hover_started,data-circle-main,damage-types,damageType,"{""damageType"":""Thunder"",""type"":""damageType""}",Thunder,15,0.0,
Uriel_Septim_VII,Uriel_Septim_VII,data_circle_focus_selected,editor,,,data-circle-focus,Current Editor,15,0.0,
Uriel_Septim_VII,Uriel_Septim_VII,data_circle_focus_hover_ended,data-circle-aggregate,range,range,"{""range"":""mid"",""type"":""range""}",Mid,13,583.0,44.84615384615385
Uriel_Septim_VII,Uriel_Septim_VII,data_circle_focus_hover_started,data-circle-aggregate,range,range,"{""range"":""mid"",""type"":""range""}",Mid,13,0.0,
