participant_id,session_id,event_family,count
Uriel_Septim_VII,Uriel_Septim_VII,Build edits,590
Uriel_Septim_VII,Uriel_Septim_VII,Friction or blocked action,55
Uriel_Septim_VII,Uriel_Septim_VII,Navigation/process,69
Uriel_Septim_VII,Uriel_Septim_VII,Party planning,604
Uriel_Septim_VII,Uriel_Septim_VII,Saved-build workflow,646
Uriel_Septim_VII,Uriel_Septim_VII,Visualization inspection,4749
Yoloman,Yoloman,Build edits,309
Yoloman,Yoloman,Friction or blocked action,27
Yoloman,Yoloman,Navigation/process,77
Yoloman,Yoloman,Party planning,310
Yoloman,Yoloman,Saved-build workflow,294
Yoloman,Yoloman,Visualization inspection,342
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,Build edits,382
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,Friction or blocked action,48
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,Navigation/process,33
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,Party planning,382
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,Saved-build workflow,342
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,Visualization inspection,6155
participant-mpzu7yfi-18b55e,participant-mpzu7yfi-18b55e,Build edits,452
participant-mpzu7yfi-18b55e,participant-mpzu7yfi-18b55e,Friction or blocked action,43
participant-mpzu7yfi-18b55e,participant-mpzu7yfi-18b55e,Navigation/process,53
participant-mpzu7yfi-18b55e,participant-mpzu7yfi-18b55e,Party planning,451
participant-mpzu7yfi-18b55e,participant-mpzu7yfi-18b55e,Saved-build workflow,414
participant-mpzu7yfi-18b55e,participant-mpzu7yfi-18b55e,Simulator/evaluation,20
participant-mpzu7yfi-18b55e,participant-mpzu7yfi-18b55e,Visualization inspection,4883
participant-mpzuqjdb-edb342,participant-mpzuqjdb-edb342,Build edits,62
participant-mpzuqjdb-edb342,participant-mpzuqjdb-edb342,Friction or blocked action,36
participant-mpzuqjdb-edb342,participant-mpzuqjdb-edb342,Navigation/process,272
participant-mpzuqjdb-edb342,participant-mpzuqjdb-edb342,Party planning,66
participant-mpzuqjdb-edb342,participant-mpzuqjdb-edb342,Saved-build workflow,108
participant-mpzuqjdb-edb342,participant-mpzuqjdb-edb342,Visualization inspection,477
participant-mpzxp2jz-c463ae,participant-mpzxp2jz-c463ae,Build edits,759
participant-mpzxp2jz-c463ae,participant-mpzxp2jz-c463ae,Friction or blocked action,57
participant-mpzxp2jz-c463ae,participant-mpzxp2jz-c463ae,Navigation/process,109
participant-mpzxp2jz-c463ae,participant-mpzxp2jz-c463ae,Party planning,754
participant-mpzxp2jz-c463ae,participant-mpzxp2jz-c463ae,Saved-build workflow,730
participant-mpzxp2jz-c463ae,participant-mpzxp2jz-c463ae,Simulator/evaluation,12
participant-mpzxp2jz-c463ae,participant-mpzxp2jz-c463ae,Visualization inspection,3064
participant-mq000vqm-dbf8fe,participant-mq000vqm-dbf8fe,Build edits,375
participant-mq000vqm-dbf8fe,participant-mq000vqm-dbf8fe,Friction or blocked action,34
participant-mq000vqm-dbf8fe,participant-mq000vqm-dbf8fe,Navigation/process,41
participant-mq000vqm-dbf8fe,participant-mq000vqm-dbf8fe,Party planning,377
participant-mq000vqm-dbf8fe,participant-mq000vqm-dbf8fe,Saved-build workflow,417
participant-mq000vqm-dbf8fe,participant-mq000vqm-dbf8fe,Simulator/evaluation,8
participant-mq000vqm-dbf8fe,participant-mq000vqm-dbf8fe,Visualization inspection,4818
participant-mq005qw8-a6ac91,participant-mq005qw8-a6ac91,Build edits,334
participant-mq005qw8-a6ac91,participant-mq005qw8-a6ac91,Friction or blocked action,33
participant-mq005qw8-a6ac91,participant-mq005qw8-a6ac91,Navigation/process,18
participant-mq005qw8-a6ac91,participant-mq005qw8-a6ac91,Party planning,337
participant-mq005qw8-a6ac91,participant-mq005qw8-a6ac91,Saved-build workflow,285
participant-mq005qw8-a6ac91,participant-mq005qw8-a6ac91,Simulator/evaluation,8
participant-mq005qw8-a6ac91,participant-mq005qw8-a6ac91,Visualization inspection,1886
participant-mq0uvjt0-011c95,participant-mq0uvjt0-011c95,Build edits,468
participant-mq0uvjt0-011c95,participant-mq0uvjt0-011c95,Friction or blocked action,46
participant-mq0uvjt0-011c95,participant-mq0uvjt0-011c95,Navigation/process,60
participant-mq0uvjt0-011c95,participant-mq0uvjt0-011c95,Party planning,480
participant-mq0uvjt0-011c95,participant-mq0uvjt0-011c95,Saved-build workflow,505
participant-mq0uvjt0-011c95,participant-mq0uvjt0-011c95,Visualization inspection,2295
participant-mq0zhvzs-7029a5,participant-mq0zhvzs-7029a5,Build edits,382
participant-mq0zhvzs-7029a5,participant-mq0zhvzs-7029a5,Friction or blocked action,25
participant-mq0zhvzs-7029a5,participant-mq0zhvzs-7029a5,Navigation/process,61
participant-mq0zhvzs-7029a5,participant-mq0zhvzs-7029a5,Party planning,400
participant-mq0zhvzs-7029a5,participant-mq0zhvzs-7029a5,Saved-build workflow,620
participant-mq0zhvzs-7029a5,participant-mq0zhvzs-7029a5,Simulator/evaluation,28
participant-mq0zhvzs-7029a5,participant-mq0zhvzs-7029a5,Visualization inspection,2054
participant-mq2ql73p-7cf181,participant-mq2ql73p-7cf181,Build edits,470
participant-mq2ql73p-7cf181,participant-mq2ql73p-7cf181,Friction or blocked action,34
participant-mq2ql73p-7cf181,participant-mq2ql73p-7cf181,Navigation/process,27
participant-mq2ql73p-7cf181,participant-mq2ql73p-7cf181,Party planning,462
participant-mq2ql73p-7cf181,participant-mq2ql73p-7cf181,Saved-build workflow,432
participant-mq2ql73p-7cf181,participant-mq2ql73p-7cf181,Simulator/evaluation,24
participant-mq2ql73p-7cf181,participant-mq2ql73p-7cf181,Visualization inspection,5818
participant-mq3eh42s-fb2cf2,participant-mq3eh42s-fb2cf2,Build edits,415
participant-mq3eh42s-fb2cf2,participant-mq3eh42s-fb2cf2,Friction or blocked action,79
participant-mq3eh42s-fb2cf2,participant-mq3eh42s-fb2cf2,Navigation/process,98
participant-mq3eh42s-fb2cf2,participant-mq3eh42s-fb2cf2,Party planning,421
participant-mq3eh42s-fb2cf2,participant-mq3eh42s-fb2cf2,Saved-build workflow,547
participant-mq3eh42s-fb2cf2,participant-mq3eh42s-fb2cf2,Simulator/evaluation,4
participant-mq3eh42s-fb2cf2,participant-mq3eh42s-fb2cf2,Visualization inspection,1907
participant-mq3o607h-2af78e,participant-mq3o607h-2af78e,Build edits,316
participant-mq3o607h-2af78e,participant-mq3o607h-2af78e,Friction or blocked action,50
participant-mq3o607h-2af78e,participant-mq3o607h-2af78e,Navigation/process,48
participant-mq3o607h-2af78e,participant-mq3o607h-2af78e,Party planning,324
participant-mq3o607h-2af78e,participant-mq3o607h-2af78e,Saved-build workflow,268
participant-mq3o607h-2af78e,participant-mq3o607h-2af78e,Simulator/evaluation,20
participant-mq3o607h-2af78e,participant-mq3o607h-2af78e,Visualization inspection,1752
participant-mq5aoq7u-493cb0,participant-mq5aoq7u-493cb0,Build edits,553
participant-mq5aoq7u-493cb0,participant-mq5aoq7u-493cb0,Friction or blocked action,160
participant-mq5aoq7u-493cb0,participant-mq5aoq7u-493cb0,Navigation/process,34
participant-mq5aoq7u-493cb0,participant-mq5aoq7u-493cb0,Party planning,559
participant-mq5aoq7u-493cb0,participant-mq5aoq7u-493cb0,Saved-build workflow,549
participant-mq5aoq7u-493cb0,participant-mq5aoq7u-493cb0,Simulator/evaluation,8
