participant_id,session_id,event_type,active_view,study_region,study_element,element_type,is_interactive,interaction_count,total_dwell_ms,mean_dwell_ms,total_interaction_weight
Uriel_Septim_VII,Uriel_Septim_VII,heatmap_hover_dwell,classScores,study-survey-modal,,,False,267,725974.0,2719.003745318352,451.224
Uriel_Septim_VII,Uriel_Septim_VII,heatmap_hover_dwell,spellsAbilities,spell-button,spell,,True,278,397627.0,1430.3129496402878,368.576
Uriel_Septim_VII,Uriel_Septim_VII,heatmap_hover_dwell,classScores,feat-card,,,True,76,408286.0,5372.184210526316,217.156
Uriel_Septim_VII,Uriel_Septim_VII,heatmap_hover_dwell,classScores,study-survey-modal,,,True,69,1631644.0,23647.014492753624,205.012
Uriel_Septim_VII,Uriel_Septim_VII,heatmap_hover_dwell,spellsAbilities,class-feature-button,class-feature,,True,121,204247.0,1687.9917355371902,196.653
Uriel_Septim_VII,Uriel_Septim_VII,heatmap_click,classScores,ability-score-card,,button,True,171,0.0,,171.0
Uriel_Septim_VII,Uriel_Septim_VII,heatmap_hover_dwell,spellsAbilities,spell-rank-section,,,False,113,161502.0,1429.2212389380531,148.709
Uriel_Septim_VII,Uriel_Septim_VII,heatmap_pointer_down,classScores,ability-score-card,,button,True,174,0.0,,130.5
Uriel_Septim_VII,Uriel_Septim_VII,heatmap_click,classScores,study-survey-modal,,,False,124,0.0,,124.0
Uriel_Septim_VII,Uriel_Septim_VII,heatmap_click,spellsAbilities,spell-button,spell,,True,98,0.0,,98.0
Uriel_Septim_VII,Uriel_Septim_VII,heatmap_pointer_down,classScores,study-survey-modal,,,False,126,0.0,,94.5
Uriel_Septim_VII,Uriel_Septim_VII,heatmap_click,classScores,feat-card,,,True,87,0.0,,87.0
Uriel_Septim_VII,Uriel_Septim_VII,heatmap_hover_dwell,classScores,feat-card,,,False,49,78580.0,1603.6734693877552,78.14
Uriel_Septim_VII,Uriel_Septim_VII,heatmap_click,classScores,study-survey-modal,,radio,True,78,0.0,,78.0
Uriel_Septim_VII,Uriel_Septim_VII,heatmap_pointer_down,spellsAbilities,spell-button,spell,,True,101,0.0,,75.75
Uriel_Septim_VII,Uriel_Septim_VII,heatmap_hover_dwell,classScores,flexible-ability-bonus-fields,,,True,22,63440.0,2883.6363636363635,57.428
Uriel_Septim_VII,Uriel_Septim_VII,heatmap_hover_dwell,classScores,ability-score-card,,button,True,44,54421.0,1236.840909090909,54.355
Uriel_Septim_VII,Uriel_Septim_VII,heatmap_hover_dwell,spellsAbilities,spell-icon-grid,,,False,37,50875.0,1375.0,47.84
Uriel_Septim_VII,Uriel_Septim_VII,heatmap_click,character,class-skill-grid,class-skill-button,button,True,44,0.0,,44.0
Uriel_Septim_VII,Uriel_Septim_VII,heatmap_click,classScores,study-survey-modal,,,True,44,0.0,,44.0
Uriel_Septim_VII,Uriel_Septim_VII,heatmap_hover_dwell,character,character-basic-fields,race-select,,True,18,52624.0,2923.555555555556,43.422
Uriel_Septim_VII,Uriel_Septim_VII,heatmap_hover_dwell,character,class-skill-grid,class-skill-button,button,True,37,42516.0,1149.081081081081,42.516
Uriel_Septim_VII,Uriel_Septim_VII,heatmap_hover_dwell,character,character-basic-fields,background-select,,True,16,55683.0,3480.1875,40.289
Uriel_Septim_VII,Uriel_Septim_VII,heatmap_pointer_down,classScores,feat-card,,,True,49,0.0,,36.75
Uriel_Septim_VII,Uriel_Septim_VII,heatmap_pointer_down,classScores,study-survey-modal,,,True,46,0.0,,34.5
Uriel_Septim_VII,Uriel_Septim_VII,heatmap_pointer_down,character,class-skill-grid,class-skill-button,button,True,44,0.0,,33.0
Uriel_Septim_VII,Uriel_Septim_VII,heatmap_click,character,character-basic-fields,race-select,,True,31,0.0,,31.0
