group_variable,group,variable,n,missing,mean,sd,median,q1,q3,min,max,mean_ci_low_boot,mean_ci_high_boot,median_ci_low_boot,median_ci_high_boot
bg3_experience_group,high,active_duration_min,16,0,48.531,14.588561351441676,43.494191666666666,38.53655833333333,54.08576666666667,31.5647,85.20928333333333,42.40385101562501,55.92903809895834,38.8179,53.74429166666667
bg3_experience_group,high,deliberate_planning_event_count,16,0,4273.375,1599.7290551840333,4090.0,2873.5,5306.0,1923.0,7342.0,3525.5125,5054.2734375,2901.0,5289.0
bg3_experience_group,high,build_edit_count,16,0,419.4375,83.84984098573672,398.5,367.25,477.5,300.0,590.0,382.6875,459.378125,375.0,468.0
bg3_experience_group,high,unique_build_states_from_edits,16,0,374.0,65.88171218175799,367.0,333.25,400.0,276.0,506.0,344.3703125,405.0640625,337.0,394.0
bg3_experience_group,high,visual_profile_changing_edit_count,16,0,97.9375,32.87241751580393,97.0,82.0,125.75,37.0,148.0,82.625,113.1265625,79.0,125.0
bg3_experience_group,high,saved_build_created_count,16,0,5.8125,4.182802091102726,5.0,4.0,6.0,3.0,21.0,4.4359375000000005,8.0,4.0,6.0
bg3_experience_group,high,saved_build_loaded_count,16,0,1.5625,1.631716887208072,1.0,0.0,2.25,0.0,5.0,0.8125,2.375,0.0,2.0
bg3_experience_group,high,party_slot_assigned_count,16,0,4.9375,3.021451086260816,4.0,3.0,5.0,3.0,13.0,3.6859375000000005,6.5,3.0,5.0
bg3_experience_group,high,unique_party_snapshots,16,0,401.1875,72.60323110348924,396.0,350.0,447.25,289.0,534.0,367.6875,436.1265625,352.0,445.0
bg3_experience_group,high,visualization_event_count,16,0,2882.9375,1562.4225407466872,2484.0,1847.25,3979.25,607.0,6155.0,2168.6375,3658.503125,1886.0,3967.0
bg3_experience_group,high,data_circle_focus_select_count,16,0,195.6875,151.6186966263286,185.0,54.5,322.0,22.0,445.0,126.1828125,271.1265625,59.0,310.0
bg3_experience_group,high,data_circle_hover_dwell_count,16,0,60.875,54.26585789733111,49.0,22.25,77.25,7.0,211.0,38.3125,89.0640625,25.0,73.0
bg3_experience_group,high,data_circle_total_dwell_sec,16,0,254.17325000000002,293.92870559564835,163.4845,64.857,251.22325,21.422,1050.957,133.2438921875,408.88151250000004,73.033,243.03
bg3_experience_group,high,unique_focus_keys,16,0,56.375,27.322457185741303,56.0,36.25,70.25,18.0,117.0,43.6859375,70.1875,37.0,70.0
bg3_experience_group,high,tooltip_open_count,16,0,917.5,565.8470935980262,813.0,556.5,1113.0,239.0,2270.0,666.80625,1202.0671875,564.0,1139.0
bg3_experience_group,high,highlight_interaction_count,16,0,119.125,129.24956479617254,64.5,20.5,199.75,6.0,375.0,62.4375,185.3765625,21.0,195.0
bg3_experience_group,high,damage_preview_update_count,16,0,48.3125,30.36163972295743,46.0,30.0,61.25,0.0,113.0,34.0609375,63.5,30.0,61.0
bg3_experience_group,high,edits_after_visualization_60s,16,0,196.625,68.85141005576187,201.0,158.75,225.5,91.0,357.0,165.1859375,230.8140625,165.0,225.0
bg3_experience_group,high,party_gap_response_unique_edit_count,16,0,372.4375,66.3495478507578,366.0,331.0,399.75,276.0,505.0,342.803125,403.6265625,335.0,394.0
bg3_experience_group,high,evaluation_request_count,16,0,2.375,3.7394295465128544,0.0,0.0,4.0,0.0,14.0,0.75,4.375,0.0,4.0
bg3_experience_group,high,evaluation_failure_count,16,0,2.375,3.7394295465128544,0.0,0.0,4.0,0.0,14.0,0.75,4.375,0.0,4.0
bg3_experience_group,high,friction_event_count,16,0,47.375,33.809022464425084,33.5,28.75,49.75,24.0,160.0,34.6234375,65.6890625,29.0,50.5
bg3_experience_group,high,invalid_selection_count,16,0,47.375,33.809022464425084,33.5,28.75,49.75,24.0,160.0,34.6234375,65.6890625,29.0,50.5
bg3_experience_group,high,final_filled_party_slots,16,0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
bg3_experience_group,high,final_party_gap_count,16,0,1.0625,0.25,1.0,1.0,1.0,1.0,2.0,1.0,1.1875,1.0,1.0
bg3_experience_group,high,final_high_severity_gap_count,16,0,1.0625,0.25,1.0,1.0,1.0,1.0,2.0,1.0,1.1875,1.0,1.0
bg3_experience_group,high,final_medium_severity_gap_count,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bg3_experience_group,high,final_redundancy_score,16,0,0.9484773107424695,0.009689356042033337,0.9466662874047105,0.942812303829253,0.9517745345150013,0.935064935064935,0.968944099378882,0.9439511334259054,0.9533046981925428,0.9435008608019366,0.9536414094693466
bg3_experience_group,high,final_selected_ability_count,16,0,123.4375,26.951731546105407,116.5,110.0,129.5,84.0,189.0,111.4984375,136.6265625,110.0,131.5
bg3_experience_group,high,final_damage_ability_count,16,0,50.9375,13.591510830907161,47.0,43.5,58.0,32.0,82.0,44.6234375,57.5625,44.0,57.0
bg3_experience_group,high,final_utility_ability_count,16,0,72.5,16.99803910259455,67.5,62.75,81.0,42.0,107.0,64.875,80.6890625,63.0,79.5
bg3_experience_group,high,final_healing_count,16,0,8.5,7.366591251499344,6.5,3.75,9.25,1.0,27.0,5.375,12.375,4.0,9.0
