group_variable,group,variable,n,missing,mean,sd,median,q1,q3,min,max,mean_ci_low_boot,mean_ci_high_boot,median_ci_low_boot,median_ci_high_boot
,,active_duration_min,28,0,57.830438690476186,32.074619212208745,47.067,38.53655833333333,65.41682083333333,22.387916666666666,137.52913333333333,47.0279772172619,70.171131875,40.0966,55.430883333333334
,,deliberate_planning_event_count,28,0,4184.035714285715,1911.3137130749517,3773.5,2787.75,5389.0,1021.0,8529.0,3538.6116071428573,4898.716071428571,2929.0,5224.5
,,build_edit_count,28,0,419.89285714285717,140.55191192968505,398.5,341.5,476.75,62.0,776.0,371.60535714285714,472.3625,344.5,460.0
,,unique_build_states_from_edits,28,0,366.60714285714283,96.36210231156625,367.0,318.75,414.25,60.0,565.0,331.9642857142857,400.89732142857144,325.0,391.5
,,visual_profile_changing_edit_count,28,0,105.46428571428571,61.54702035261914,97.0,72.25,129.0,7.0,304.0,84.74910714285714,129.4669642857143,82.5,119.5
,,saved_build_created_count,28,0,5.464285714285714,3.5847634650739644,4.5,4.0,6.0,2.0,21.0,4.392857142857143,6.9651785714285745,4.0,5.0
,,saved_build_loaded_count,28,0,2.142857142857143,4.335164448282302,1.0,0.0,2.25,0.0,23.0,0.9991071428571432,3.965178571428575,0.0,2.0
,,party_slot_assigned_count,28,0,4.464285714285714,2.5310244281880525,3.0,3.0,4.25,3.0,13.0,3.642857142857143,5.464285714285714,3.0,4.0
,,unique_party_snapshots,28,0,391.9642857142857,101.85701021088597,394.0,336.25,447.25,76.0,596.0,356.81607142857143,427.8598214285714,344.5,428.0
,,visualization_event_count,28,0,2768.0,1650.7283465410273,2349.5,1743.0,3979.25,342.0,6155.0,2194.0919642857143,3371.3669642857144,1819.0,3431.5
,,data_circle_focus_select_count,28,0,212.75,195.08433598869016,163.5,59.75,322.0,6.0,805.0,145.89285714285714,287.9669642857143,75.0,251.5
,,data_circle_hover_dwell_count,28,0,58.392857142857146,47.71934873179058,46.5,25.75,74.25,7.0,211.0,42.107142857142854,76.18303571428574,31.5,60.0
,,data_circle_total_dwell_sec,28,0,238.78032142857143,245.8230436260188,170.392,76.33675,269.6875,21.422,1050.957,157.67254464285713,330.37575357142856,100.1625,237.21550000000002
,,unique_focus_keys,28,0,51.67857142857143,25.34948837445365,46.5,32.5,70.25,18.0,117.0,42.64196428571429,61.17857142857143,35.5,66.0
,,tooltip_open_count,28,0,846.3571428571429,575.0053921992393,705.5,443.75,1130.75,25.0,2270.0,656.6044642857144,1063.3625,520.0,985.0
,,highlight_interaction_count,28,0,102.5,115.15094763283861,57.5,15.5,151.25,0.0,375.0,62.714285714285715,145.96964285714287,20.0,104.5
,,damage_preview_update_count,28,0,50.75,38.55215322804316,44.5,30.0,61.25,0.0,185.0,37.5,65.46875000000001,32.5,55.0
,,edits_after_visualization_60s,28,0,204.46428571428572,98.25759122227775,201.0,147.5,231.25,9.0,488.0,169.53482142857143,242.7526785714286,167.0,226.0
,,party_gap_response_unique_edit_count,28,0,364.17857142857144,95.41102256821917,366.0,316.25,409.5,60.0,558.0,330.1383928571429,397.96785714285716,323.0,391.0
,,evaluation_request_count,28,0,4.142857142857143,6.346269161888131,1.0,0.0,6.0,0.0,28.0,2.069642857142858,6.571428571428571,0.0,4.0
,,evaluation_failure_count,28,0,4.142857142857143,6.346269161888131,1.0,0.0,6.0,0.0,28.0,2.069642857142858,6.571428571428571,0.0,4.0
,,friction_event_count,28,0,49.25,30.863648760553488,39.0,30.5,55.0,20.0,160.0,39.32142857142857,61.67946428571429,32.0,49.0
,,invalid_selection_count,28,0,49.25,30.863648760553488,39.0,30.5,55.0,20.0,160.0,39.32142857142857,61.67946428571429,32.0,49.0
