source_file,zip_member,staged_file,file_type,status
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\BG3 4th Party.zip,bg3-study-survey-participant-mq748vre-54ccf6-2026-06-09T21-45-05-045Z.json,,survey_json,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\BG3 4th Party.zip,bg3-study-log-participant-mq748vre-54ccf6-2026-06-09T21-45-05-045Z.jsonl,,jsonl,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mpya2p1q-46ef0b-2026-06-03T18-20-52-897Z.zip,bg3-study-survey-participant-mpya2p1q-46ef0b-2026-06-03T18-20-52-897Z.json,,survey_json,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mpya2p1q-46ef0b-2026-06-03T18-20-52-897Z.zip,bg3-study-log-participant-mpya2p1q-46ef0b-2026-06-03T18-20-52-897Z.jsonl,,jsonl,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mpzu7yfi-18b55e-2026-06-04T20-39-12-496Z.zip,bg3-study-survey-participant-mpzu7yfi-18b55e-2026-06-04T20-39-12-496Z.json,,survey_json,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mpzu7yfi-18b55e-2026-06-04T20-39-12-496Z.zip,bg3-study-log-participant-mpzu7yfi-18b55e-2026-06-04T20-39-12-496Z.jsonl,,jsonl,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mpzuqjdb-edb342-2026-06-04T19-21-09-164Z.zip,bg3-study-survey-participant-mpzuqjdb-edb342-2026-06-04T19-21-09-164Z.json,,survey_json,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mpzuqjdb-edb342-2026-06-04T19-21-09-164Z.zip,bg3-study-log-participant-mpzuqjdb-edb342-2026-06-04T19-21-09-164Z.jsonl,,jsonl,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mpzxp2jz-c463ae-2026-06-05T16-19-05-605Z.zip,bg3-study-survey-participant-mpzxp2jz-c463ae-2026-06-05T16-19-05-605Z.json,,survey_json,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mpzxp2jz-c463ae-2026-06-05T16-19-05-605Z.zip,bg3-study-log-participant-mpzxp2jz-c463ae-2026-06-05T16-19-05-605Z.jsonl,,jsonl,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mq000vqm-dbf8fe-2026-06-10T22-39-00-540Z (1).zip,bg3-study-survey-participant-mq000vqm-dbf8fe-2026-06-10T22-39-00-540Z.json,,survey_json,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mq000vqm-dbf8fe-2026-06-10T22-39-00-540Z (1).zip,bg3-study-log-participant-mq000vqm-dbf8fe-2026-06-10T22-39-00-540Z.jsonl,,jsonl,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mq005qw8-a6ac91-2026-06-04T22-03-53-232Z.zip,bg3-study-survey-participant-mq005qw8-a6ac91-2026-06-04T22-03-53-232Z.json,,survey_json,skipped_existing_hash
