group_variable,group,variable,n,missing,mean,sd,median,q1,q3,min,max,mean_ci_low_boot,mean_ci_high_boot,median_ci_low_boot,median_ci_high_boot
,,exploration_iteration_overall,28,0,4.035714285714286,0.9222413461394477,4.0,4.0,5.0,2.0,5.0,3.6785714285714284,4.357142857142857,4.0,4.5
,,final_party_confidence,28,0,3.9642857142857144,0.8811668550592597,4.0,3.75,5.0,2.0,5.0,3.642857142857143,4.285714285714286,4.0,4.0
,,reasoning_tradeoffs_party_overall,28,0,4.107142857142857,0.8317445171439014,4.0,4.0,5.0,2.0,5.0,3.7857142857142856,4.392857142857143,4.0,5.0
,,balanced_autonomous_decision,28,0,4.142857142857143,0.931517508007696,4.0,4.0,5.0,2.0,5.0,3.7857142857142856,4.464285714285714,4.0,5.0
,,understood_visualization,28,0,4.0,0.816496580927726,4.0,4.0,4.25,2.0,5.0,3.7142857142857144,4.285714285714286,4.0,4.0
,,noticed_party_patterns,28,0,4.0,0.90267093384844,4.0,4.0,5.0,2.0,5.0,3.642857142857143,4.321428571428571,4.0,4.0
,,interactive_explanation,28,0,4.142857142857143,1.0440053112638317,5.0,3.0,5.0,2.0,5.0,3.75,4.5,3.5,5.0
,,readable,28,0,4.071428571428571,0.8997354108424372,4.0,4.0,5.0,2.0,5.0,3.7142857142857144,4.392857142857143,4.0,4.5
,,appropriate_for_bg3,28,0,4.071428571428571,0.8132500607904443,4.0,4.0,5.0,2.0,5.0,3.7857142857142856,4.357142857142857,4.0,4.5
,,visual_style_fit,28,0,4.5,0.6382847385042254,5.0,4.0,5.0,3.0,5.0,4.25,4.714285714285714,4.0,5.0
,,engaging_creative_exploration,28,0,4.035714285714286,0.9993384054849732,4.0,3.75,5.0,2.0,5.0,3.6785714285714284,4.392857142857143,4.0,5.0
